name,tag,role,expLevel,trophies,townHallLevel
十一月の雨,#G09U9JJ22,coLeader,116,0,16
羊村,#G9JQV8R2L,member,118,0,16
小宇,#G0L9PQ9CY,admin,113,53,12
来日方长,#QVU2Q8QVR,member,84,16,11
翡翠原石批发商啊盛,#LUJGUG8GR,member,80,0,12
小予泪.,#G2VQGPR00,admin,96,0,12
落雪丨星辉,#QQCGQY009,member,82,0,12
Lysander,#GLLR9UV9C,member,79,240,11
薛定谔的猫,#G0Y022QVC,member,83,24,11
sinking,#G9GRLPRGV,member,69,16,10
bbb,#R2P0J2GYQ,member,51,240,9
bryan,#GU0UVQY8J,member,38,280,9
sdejwj,#GC99CP22V,member,39,0,9
天天向上,#GY9L8URP2,member,33,80,8
加速度…,#R2Q0R2CYJ,member,36,40,7
May.,#QCJY90C0Y,member,37,0,8
BANDIT,#G2QJLLJUL,member,36,0,8
宝宝,#GC98VUGVQ,member,40,0,8
忆往亊兮,#GURYQ8809,member,27,40,8
kumajiao,#GG9UG88YR,member,25,0,6
Domnike,#LY9GG88,member,150,0,12
mortis,#GVVYLJRRG,member,28,0,8
落后就要挨打,#GRVG2QJC8,member,108,0,13
萤火之森,#GCV929C2J,coLeader,37,0,7
Jee Jee,#GULJLL09Q,member,38,0,8
战神,#R00PP02UP,member,15,0,5
China✨空降物质 1.0,#GY0Y8JQU0,admin,232,0,16
爱慧,#GVP9R0UQ8,member,28,0,9
执笔✨书生,#GLJ29RVYY,coLeader,80,0,10
青　木,#GJPC2GUUY,leader,24,0,7
执笔✨王麻子,#8UU8L2C29,member,201,0,17
